station_id,latitude,longitude,wind_dir_degrees,wind_speed_kt
ENEV,68.491,16.683,20,8
ENDU,69.058,18.544,20,4
ENCN,58.2,8.077,170,7
ENBV,70.871,29.032,320,5
ENBS,70.601,29.698,30,10
ENBR,60.29,5.222,200,10
ENBN,65.458,12.216,240,6
ENBL,61.391,5.76,190,7
ENAT,69.978,23.358,360,11
ENAN,69.307,16.131,30,6
ENAL,62.562,6.115,320,7
ELLX,49.626,6.204,120,8
EKYT,57.093,9.879,290,9
EKVJ,55.991,8.354,260,7
EKVG,62.065,-7.282,170,13
EKSP,55.225,9.263,280,9
EKSB,54.962,9.787,320,9
EKRN,55.068,14.749,280,13
EKRK,55.587,12.136,310,11
EKOD,55.475,10.331,310,8
EKKA,56.293,9.114,260,11
EKEB,55.528,8.563,250,8
EKBI,55.74,9.152,290,5
EKAH,56.3,10.619,300,10
EGWU,51.549,-0.417,130,5
EGVN,51.758,-1.578,190,4
EGTK,51.838,-1.317,190,7
EGTE,50.737,-3.406,140,10
EGTC,52.072,-0.617,180,5
EGSY,51.406,-3.434,150,4
EGSS,51.881,0.223,120,10
EGSH,52.676,1.283,150,10
EGPU,56.499,-6.872,190,17
EGPO,58.215,-6.329,190,18
EGPN,56.453,-3.026,240,13
EGPL,57.475,-7.364,200,21
EGPK,55.509,-4.587,200,11
EGPI,55.681,-6.25,200,8
EGPF,55.867,-4.433,210,13
EGPE,57.538,-4.053,230,15
EGPD,57.205,-2.205,210,12
EGPC,58.459,-3.093,170,7
EGPB,59.88,-1.296,210,8
EGPA,58.958,-2.905,340,5
EGNX,52.833,-1.333,220,7
EGNV,54.511,-1.418,230,12
EGNT,55.037,-1.702,260,9
EGNS,54.085,-4.632,210,9
EGNR,53.175,-2.987,310,4
EGNM,53.862,-1.665,210,8
EGNH,53.774,-3.039,320,7
EGMD,50.956,0.939,80,11
EGMC,51.571,0.696,90,12
EGLL,51.477,-0.461,180,6
EGLF,51.28,-0.773,140,7
EGLC,51.505,0.055,80,10
EGKK,51.148,-0.19,150,6
EGKB,51.33,0.033,150,8
EGKA,50.836,-0.294,150,9
EGJJ,49.21,-2.194,350,6
EGJB,49.433,-2.598,80,5
EGJA,49.706,-2.215,70,13
EGHQ,50.438,-4.998,280,6
EGHI,50.944,-1.358,100,7
EGHH,50.779,-1.836,150,10
EGHE,49.914,-6.296,10,9
EGHC,50.103,-5.671,320,7
EGGW,51.875,-0.368,130,7
EGGD,51.383,-2.719,170,4
EGFF,51.397,-3.343,120,4
EGEO,56.464,-5.4,210,12
EGCK,53.104,-4.34,270,9
EGCC,53.354,-2.275,210,6
EGBJ,51.892,-2.161,180,2
EGAE,55.043,-7.161,200,11
EGAC,54.614,-5.873,210,10
EGAA,54.654,-6.225,220,8
EFVA,63.051,21.762,350,15
EFUT,60.896,26.938,330,6
EFTU,60.514,22.263,320,9
EFTP,61.419,23.616,340,9
EFSI,62.693,22.83,320,8
EFSA,61.943,28.945,30,9
EFRO,66.562,25.829,350,6
EFPO,61.462,21.8,320,15
EFOU,64.93,25.355,350,7
EFMI,61.687,27.201,10,5
EFMA,60.125,19.903,340,11
EFLP,61.044,28.151,30,7
EFKU,63.008,27.799,360,6
EFKT,67.701,24.847,330,7
EFKS,65.992,29.236,20,5
EFKK,63.721,23.143,330,12
EFKI,64.283,27.673,30,6
EFKE,65.784,24.579,20,7
EFJY,62.404,25.675,340,4
EFJO,62.66,29.611,40,7
EFIV,68.607,27.405,20,7
EFHK,60.327,24.957,330,14
EFHA,61.855,24.805,320,7
EFET,68.363,23.424,10,14
EETU,58.307,26.691,340,12
EETN,59.413,24.801,330,10
EEPU,58.419,24.473,350,8
EEKE,58.23,22.509,340,14
EEKA,58.991,22.831,320,19
EDXW,54.913,8.341,280,8
